"is_challenger","match_id","game_length","placement","level","last_round","gold_left","n_legend","avg_unit_level","board_cost","match_avg_unit_level","match_avg_board_cost"
"Challenger","NA1_4772665234",2076,"1","8",37,60,"0",2,49,1.86666666666667,51
"Master/Grandmaster","NA1_4772665234",2076,"3","9",35,2,"1",1.6,48,1.86666666666667,51
"Master/Grandmaster","NA1_4772665234",2076,"2","8",37,1,"0",2,56,1.86666666666667,51
"Master/Grandmaster","NA1_4772885368",2282,"4","8",34,3,"1",2,42,2,42
"Master/Grandmaster","NA1_4773007322",2131,"7","9",28,0,"1",1.77777777777778,39,1.77777777777778,39
"Master/Grandmaster","NA1_4773094983",2278,"1","8",41,2,"0",2,47,2,47
"Master/Grandmaster","NA1_4773377674",2173,"3","8",35,1,"1",2.11111111111111,51,2.11111111111111,51
"Master/Grandmaster","NA1_4773415629",2299,"5","7",33,0,"0",2.42857142857143,41,2.42857142857143,41
"Master/Grandmaster","NA1_4774656339",2326,"7","8",28,11,"0",1.5,38,1.69444444444444,44
"Master/Grandmaster","NA1_4774656339",2326,"2","9",40,2,"1",1.88888888888889,50,1.69444444444444,44
"Master/Grandmaster","NA1_4775662889",2143,"1","8",37,51,"0",2.33333333333333,45,2.33333333333333,45
"Master/Grandmaster","NA1_4775682847",2092,"4","8",34,1,"1",1.88888888888889,57,1.99444444444444,61.5
"Master/Grandmaster","NA1_4775682847",2092,"1","9",37,1,"0",2.1,66,1.99444444444444,61.5
"Master/Grandmaster","NA1_4776410736",2204,"2","9",40,1,"1",2.09090909090909,88,2.09090909090909,88
"Master/Grandmaster","NA1_4776790875",2210,"1","8",40,5,"0",1.77777777777778,50,1.77777777777778,50
"Master/Grandmaster","NA1_4776824689",2246,"1","9",41,5,"1",1.9,62,1.9,62
"Master/Grandmaster","NA1_4777641035",2176,"4","9",33,1,"0",1.8,49,1.68333333333333,45.3333333333333
"Master/Grandmaster","NA1_4777641035",2176,"7","8",24,0,"1",1.375,34,1.68333333333333,45.3333333333333
"Master/Grandmaster","NA1_4777641035",2176,"1","8",37,1,"0",1.875,53,1.68333333333333,45.3333333333333
"Master/Grandmaster","NA1_4777658476",2185,"7","9",26,1,"1",1.5,54,1.75833333333333,48
"Master/Grandmaster","NA1_4777658476",2185,"2","8",37,2,"1",1.875,48,1.75833333333333,48
"Master/Grandmaster","NA1_4777658476",2185,"6","8",30,1,"1",1.9,42,1.75833333333333,48
"Master/Grandmaster","NA1_4778183855",1860,"7","7",27,1,"0",1.55555555555556,40,1.55555555555556,40
